Max,easy,0/2,0.0%,2025-10-30 12:39:52
Mikey,medium,10/20,50.0%,2025-10-30 13:27:13
Jams,4,2025-10-30 15:30:41.695611,easy
Jams,6,2025-10-30 16:06:15.297942,easy
less,4,2025-10-30 16:09:32.581669,easy
James,easy,0/6,0.0%,2025-10-30 16:29:09
AutomatedTester,1,2025-10-30 17:06:54.502409,easy
trener,easy,0/4,0.0%,2025-10-31 10:47:31
kay,easy,5/6,83.3%,2025-10-31 15:09:16
jafta,4,2026-01-23 00:55:19.584298,easy
jack,3,2026-01-23 01:14:00.434557,easy
music,1,2026-01-23 01:14:14.406959,easy
Jafta,medium,0/12,0.0%,2026-08-05 17:30:56
